number,name,status
556,Threaded garbage collection,
554,Multiple Interpreters in the Stdlib,
551,Security transparency in the Python runtime,
553,Built-in breakpoint(),
552,Deterministic pycs,
549,Instance Descriptors,
550,Execution Context,
548,More Flexible Loop Control,
547,Running extension modules using the -m option,
545,Python Documentation Translations,
546,Backport ssl.MemoryBIO and ssl.SSLObject to Python 2.7,
544,Protocols: Structural subtyping (static duck typing),
542,Dot Notation Assignment In Function Header,
543,A Unified TLS API for Python,
540,Add a new UTF-8 Mode,
541,Package Index Name Retention,
539,A New C-API for Thread-Local Storage in CPython,
537,Python 3.7 Release Schedule,
538,Coercing the legacy C locale to a UTF-8 based locale,
536,Final Grammar for Literal String Interpolation,
535,Rich comparison chaining,
534,Improved Errors for Missing Standard Library Modules,
532,A circuit breaking protocol and binary operators,
533,Deterministic cleanup for iterators,
531,Existence checking operators,
528,Change Windows console encoding to UTF-8,
529,Change Windows filesystem encoding to UTF-8,
530,Asynchronous Comprehensions,
527,Removing Un(der)used file types/extensions on PyPI,
526,Syntax for Variable Annotations,
523,Adding a frame evaluation API to CPython,
525,Asynchronous Generators,
524,Make os.urandom() blocking on Linux,
522,Allow BlockingIOError in security sensitive APIs,
520,Preserving Class Attribute Definition Order,
521,Managing global context via ‘with’ blocks in generators and coroutines,
519,Adding a file system path protocol,
518,Specifying Minimum Build System Requirements for Python Projects,
516,Build system abstraction for pip/conda etc,
517,A build-system independent format for source trees,
514,Python registration in the Windows registry,
515,Underscores in Numeric Literals,
513,A Platform Tag for Portable Linux Built Distributions,
512,Migrating from hg.python.org to GitHub,
511,API for code transformers,
510,Specialize functions with guards,
509,Add a private version to dict,
508,Dependency specification for Python Software Packages,
507,Migrate CPython to Git and GitLab,
506,Adding A Secrets Module To The Standard Library,
505,None-aware operators,
504,Using the System RNG by default,
503,Simple Repository API,
502,String Interpolation - Extended Discussion,
500,A protocol for delegating datetime methods to their tzinfo implementations,
501,General purpose string interpolation,
498,Literal String Interpolation,
496,Environment Markers,
497,A standard mechanism for backward compatibility,
499,,
494,Python 3.6 Release Schedule,
495,Local Time Disambiguation,
493,HTTPS verification migration tools for Python 2.7,
490,Chain exceptions at C level,
489,Multi-phase extension module initialization,
492,Coroutines with async and await syntax,
488,Elimination of PYO files,
491,The Wheel Binary Package Format 1.9,
487,Simpler customisation of class creation,
486,Make the Python Launcher aware of virtual environments,
485,A Function for testing approximate equality,
484,Type Hints,
483,The Theory of Type Hints,
482,Literature Overview for Type Hints,
480,Surviving a Compromise of PyPI: End-to-end signing of packages,
481,"Migrate CPython to Git, Github, and Phabricator",
479,Change StopIteration handling inside generators,
477,Backport ensurepip (PEP 453) to Python 2.7,
478,Python 3.5 Release Schedule,
475,Retry system calls failing with EINTR,
473,Adding structured data to built-in exceptions,
476,Enabling certificate verification by default for stdlib http clients,
472,Support for indexing with keyword arguments,
474,Creating forge.python.org,
471,os.scandir() function – a better and faster directory iterator,
469,Migration of dict iteration code to Python 3,
470,Removing External Hosting Support on PyPI,
468,Preserving the order of **kwargs in a function.,
467,Minor API improvements for binary sequences,
466,Network Security Enhancements for Python 2.7.x,
465,A dedicated infix operator for matrix multiplication,
464,Removal of the PyPI Mirror Authenticity API,
462,Core development workflow automation for CPython,
463,Exception-catching expressions,
461,Adding % formatting to bytes and bytearray,
460,Add binary interpolation and formatting,
459,Standard Metadata Extensions for Python Software Packages,
457,Notation For Positional-Only Parameters,
458,Secure PyPI downloads with signed repository metadata,
456,Secure and interchangeable hash algorithm,
455,Adding a key-transforming dictionary to collections,
453,Explicit bootstrapping of pip in Python installations,
454,Add a new tracemalloc module to trace Python memory allocations,
452,API for Cryptographic Hash Functions v2.0,
451,A ModuleSpec Type for the Import System,
450,Adding A Statistics Module To The Standard Library,
449,Removal of the PyPI Mirror Auto Discovery and Naming Scheme,
448,Additional Unpacking Generalizations,
447,Add __getdescriptor__ method to metaclass,
445,Add new APIs to customize Python memory allocators,
446,Make newly created file descriptors non-inheritable,
444,Python Web3 Interface,
443,Single-dispatch generic functions,
442,Safe object finalization,
441,Improving Python ZIP Application Support,
440,Version Identification and Dependency Specification,
439,Inclusion of implicit pip bootstrap in Python installation,
437,"A DSL for specifying signatures, annotations and argument converters",
438,Transitioning to release-file hosting on PyPI,
435,Adding an Enum type to the Python standard library,
436,The Argument Clinic DSL,
433,Easier suppression of file descriptor inheritance,
434,IDLE Enhancement Exception for All Branches,
432,Restructuring the CPython startup sequence,
431,Time zone support improvements,
428,The pathlib module – object-oriented filesystem paths,
430,Migrating to Python 3 as the default online documentation,
427,The Wheel Binary Package Format 1.0,
429,Python 3.4 Release Schedule,
426,Metadata for Python Software Packages 2.0,
425,Compatibility Tags for Built Distributions,
424,A method for exposing a length hint,
423,Naming conventions and recipes related to packaging,
422,Simpler customisation of class creation,
421,Adding sys.implementation,
420,Implicit Namespace Packages,
419,Protecting cleanup statements from interruptions,
417,Including mock in the Standard Library,
416,Add a frozendict builtin type,
415,Implement context suppression with exception attributes,
418,"Add monotonic time, performance counter, and process time functions",
414,Explicit Unicode Literal for Python 3.3,
413,Faster evolution of the Python Standard Library,
412,Key-Sharing Dictionary,
410,Use decimal.Decimal type for timestamps,
411,Provisional packages in the Python standard library,
409,Suppressing exception context,
408,Standard library __preview__ package,
407,New release cycle and introducing long-term support versions,
406,Improved Encapsulation of Import State,
404,Python 2.8 Un-release Schedule,
405,Python Virtual Environments,
403,General purpose decorator clause (aka “@in” clause),
400,Deprecate codecs.StreamReader and codecs.StreamWriter,
401,BDFL Retirement,
402,Simplified Package Layout and Partitioning,
399,Pure Python/C Accelerator Module Compatibility Requirements,
398,Python 3.3 Release Schedule,
397,Python launcher for Windows,
396,Module Version Numbers,
394,The “python” Command on Unix-Like Systems,
395,Qualified Names for Modules,
393,Flexible String Representation,
392,Python 3.2 Release Schedule,
391,Dictionary-Based Configuration For Logging,
390,Static metadata for Distutils,
386,Changing the version comparison module in Distutils,
387,Backwards Compatibility Policy,
389,argparse - New Command Line Parsing Module,
385,Migrating from Subversion to Mercurial,
384,Defining a Stable ABI,
381,Mirroring infrastructure for PyPI,
382,Namespace Packages,
383,Non-decodable Bytes in System Character Interfaces,
380,Syntax for Delegating to a Subgenerator,
379,Adding an Assignment Expression,
377,Allow __enter__() methods to skip the statement body,
378,Format Specifier for Thousands Separator,
376,Database of Installed Python Distributions,
375,Python 3.1 Release Schedule,
374,Choosing a distributed VCS for the Python project,
373,Python 2.7 Release Schedule,
372,Adding an ordered dictionary to collections,
370,Per user site-packages directory,
371,Addition of the multiprocessing package to the standard library,
369,Post import hooks,
368,Standard image protocol and class,
367,New Super,
366,Main module explicit relative imports,
364,Transitioning to the Py3K Standard Library,
365,Adding the pkg_resources module,
363,Syntax For Dynamic Attribute Access,
362,Function Signature Object,
361,Python 2.6 and 3.0 Release Schedule,
360,Externally Maintained Packages,
359,The “make” Statement,
358,The “bytes” Object,
357,Allowing Any Object to be Used for Slicing,
356,Python 2.5 Release Schedule,
355,Path - Object oriented filesystem paths,
354,Enumerations in Python,
353,Using ssize_t as the index type,
352,Required Superclass for Exceptions,
351,The freeze protocol,
348,Exception Reorganization for Python 3.0,
350,Codetags,
349,Allow str() to return unicode strings,
347,Migrating the Python CVS to Subversion,
345,Metadata for Python Software Packages 1.2,
346,User Defined (”,
344,Exception Chaining and Embedded Tracebacks,
343,The “with” Statement,
342,Coroutines via Enhanced Generators,
341,Unifying try-except and try-finally,
340,Anonymous Block Statements,
337,Logging Usage in the Standard Library,
338,Executing modules as scripts,
339,Design of the CPython Compiler,
336,Make None Callable,
335,Overloadable Boolean Operators,
334,Simple Coroutines via SuspendIteration,
332,Byte vectors and String/Unicode Unification,
333,Python Web Server Gateway Interface v1.0,
331,Locale-Independent Float/String Conversions,
329,Treating Builtins as Constants in the Standard Library,
330,Python Bytecode Verification,
327,Decimal Data Type,
328,Imports: Multi-Line and Absolute/Relative,
326,A Case for Top and Bottom Values,
324,subprocess - New process module,
325,Resource-Release Support for Generators,
323,Copyable Iterators,
321,Date/Time Parsing and Formatting,
322,Reverse Iteration,
319,Python Synchronize/Asynchronize Block,
320,Python 2.4 Release Schedule,
315,Enhanced While Loop,
316,Programming by Contract for Python,
314,Metadata for Python Software Packages 1.1,
318,Decorators for Functions and Methods,
313,Adding Roman Numeral Literals to Python,
317,Eliminate Implicit Exception Instantiation,
312,Simple Implicit Lambda,
311,Simplified Global Interpreter Lock Acquisition for Extensions,
310,Reliable Acquisition/Release Pairs,
308,Conditional Expressions,
309,Partial Function Application,
305,CSV File API,
306,How to Change Python’s Grammar,
304,Controlling Generation of Bytecode Files,
307,Extensions to the pickle protocol,
303,Extend divmod() for Multiple Divisors,
302,New Import Hooks,
299,Special __main__() function in modules,
301,Package Index and Metadata for Distutils,Either “success” or “fail”.
296,Adding a bytes Object Type,
298,The Locked Buffer Interface,
297,Support for System Upgrades,
295,Interpretation of multiline string constants,
294,Type Names in the types Module,
293,Codec Error Handling Callbacks,
292,Simpler String Substitutions,
291,Backward Compatibility for the Python 2 Standard Library,
290,Code Migration and Modernization,
288,Generators Attributes and Exceptions,
289,Generator Expressions,
286,Enhanced Argument Tuples,
285,Adding a bool type,
287,reStructuredText Docstring Format,
284,Integer for-loops,
283,Python 2.3 Release Schedule,
280,Optimizing access to globals,
278,Universal Newline Support,
279,The enumerate() built-in function,
281,Loop Counter Iteration with range and xrange,
282,A Logging System,
276,Simple Iterator for ints,
277,Unicode file name support for Windows NT,
275,Switching on Multiple Values,
274,Dict Comprehensions,
273,Import Modules from Zip Archives,
272,API for Block Encryption Algorithms v1.0,
270,uniq method for list objects,
271,Prefixing sys.path by command line option,
269,Pgen Module for Python,
268,Extended HTTP functionality and WebDAV,
267,Optimized Access to Module Namespaces,
263,Defining Python Source Code Encodings,
266,Optimizing Global Variable/Attribute Access,
265,Sorting Dictionaries by Value,
264,Future statements in simulated shells,
262,A Database of Installed Python Packages,
261,Support for “wide” Unicode characters,
260,Simplify xrange(),
259,Omit printing newline after newline,
257,Docstring Conventions,
258,Docutils Design Specification,
256,Docstring Processing System Framework,
255,Simple Generators,
254,Making Classes Look More Like Types,
253,Subtyping Built-in Types,
252,Making Types Look More Like Classes,
251,Python 2.2 Release Schedule,
250,Using site-packages on Windows,
249,Python Database API Specification v2.0,
248,Python Database API Specification v1.0,
246,Object Adaptation,
247,API for Cryptographic Hash Functions,
245,Python Interface Syntax,
244,The ,
243,Module Repository Upload Mechanism,
242,Numeric Kinds,
241,Metadata for Python Software Packages,
240,Adding a Rational Literal to Python,
237,Unifying Long Integers and Integers,
239,Adding a Rational Type to Python,
236,Back to the __future__,
238,Changing the Division Operator,
235,Import on Case-Insensitive Platforms,
234,Iterators,
232,Function Attributes,
231,__findattr__(),
233,Python Online Help,
230,Warning Framework,
229,Using Distutils to Build Python,
228,Reworking Python’s Numeric Model,
227,Statically Nested Scopes,
226,Python 2.1 Release Schedule,
224,Attribute Docstrings,
225,Elementwise/Objectwise Operators,
223,Change the Meaning of ,
221,Import As,
222,Web Library Enhancements,
220,"Coroutines, Generators, Continuations",
217,Display Hook for Interactive Use,
219,Stackless Python,
218,Adding a Built-In Set Object Type,
216,Docstring Format,
215,String Interpolation,
213,Attribute Access Handlers,
214,Extended Print Statement,
212,Loop Counter Iteration,
210,Decoupling the Interpreter Loop,
211,Adding A New Outer Product Operator,
207,Rich Comparisons,
208,Reworking the Coercion Model,
209,Multi-dimensional Arrays,
203,Augmented Assignments,
204,Range Literals,
202,List Comprehensions,
160,Python 1.6 Release Schedule,
103,Collecting information about git,
200,Python 2.0 Release Schedule,
201,Lockstep Iteration,
100,Python Unicode Integration,
42,Feature Requests,
101,Doing Python Releases 101,
102,Doing Python Micro Releases,
